user_id,lock_id,sale_datetime,sale_id,gross_profit
38769,26334269,2022-10-29 00:16:17,1624686,65.26
99994,26423056,2022-11-11 13:11:27,1641936,-133.8
112497,26120673,2022-11-03 14:33:10,1628000,-30.0
135937,27526924,2022-12-22 21:26:51,1683483,-288.55
139005,26274535,2022-10-26 22:55:41,1624760,32.87
145988,25418426,2022-09-28 16:56:40,1592422,-240.84
164212,25057050,2022-09-14 17:32:46,1592597,844.72
215419,26356668,2022-10-30 13:58:18,1631982,909.96
317410,27189311,2022-12-04 06:36:01,1675258,-38.14
457643,25825636,2022-10-11 23:52:13,1608857,-48.77
508292,25475767,2022-09-30 20:01:38,1592524,356.29
587574,27485357,2022-12-15 16:15:44,1680578,253.64
608684,27113594,2022-12-12 17:33:55,1675847,358.87
610988,25828507,2022-10-12 01:10:23,1607692,-161.45
612608,25596676,2022-10-04 17:42:56,1608131,180.96
633160,25482364,2022-10-01 01:10:38,1592467,227.1
670387,25188271,2022-09-26 19:11:51,1589522,998.41
712308,25646467,2022-10-08 00:29:47,1603267,-723.41
834973,26683475,2022-11-11 19:38:08,1641856,-377.21
868957,26659188,2022-11-11 01:22:11,1642353,22.51
888985,27196566,2022-12-08 14:48:02,1675767,1030.88
891574,27285315,2022-12-08 01:33:23,1675766,529.31
902318,27113865,2022-12-09 16:14:09,1673663,-1.38
909739,27266993,2022-12-09 05:58:42,1675779,-290.02
930750,26567994,2022-11-12 15:44:26,1648683,176.51
949772,26319417,2022-10-29 20:54:33,1624689,-37.87
976114,27506832,2022-12-17 00:14:10,1683382,354.94
986982,25041656,2022-09-14 01:29:04,1592644,-166.55
1094775,26731086,2022-11-18 21:29:08,1652934,54.21
1098585,26623265,2022-11-08 23:37:36,1641840,-483.96
1223060,27374422,2022-12-12 22:46:46,1675864,80.15
1285250,27392308,2022-12-11 16:11:51,1675818,-88.05
1352433,27481615,2022-12-18 22:02:23,1687221,332.79
1398474,25523689,2022-10-31 20:05:45,1624708,-53.97
1469386,25804206,2022-10-11 08:59:23,1600913,863.69
1497736,26277075,2022-10-27 00:32:01,1624678,26.82
1545368,25731892,2022-10-08 17:18:29,1603254,430.22
1549604,25672798,2022-10-07 23:00:01,1603251,689.94
1606496,26151232,2022-10-28 13:48:42,1631962,583.28
1758229,25234210,2022-09-24 14:12:49,1591339,292.35
1759132,27320367,2022-12-08 14:33:07,1682559,-152.49
1824574,26244243,2022-10-29 13:06:14,1626803,1156.18
1913201,25488010,2022-09-30 00:14:34,1592391,155.51
1975303,25426314,2022-10-01 01:09:22,1592466,407.58
2044335,26868754,2022-11-18 04:26:29,1652905,-557.77
2161654,27349778,2022-12-14 15:30:54,1679777,794.5
2200227,25718620,2022-10-20 16:56:25,1616942,-175.87
2200227,25439857,2022-09-29 18:34:27,1592304,554.04
2235524,25518065,2022-10-01 02:23:31,1592671,1222.12
2349692,27134771,2022-12-07 19:33:35,1675307,-124.24
2367251,27419736,2022-12-12 21:55:13,1675862,-494.64
2394640,25295129,2022-09-23 21:00:14,1592363,760.51
